0,487
0,570
1,224
1,447
3,862
4,26
5,370
7,230
8,729
9,308
9,409
10,556
10,358
11,886
12,475
14,622
14,450
16,315
18,967
19,35
19,688
22,713
25,110
28,753
29,654
31,753
32,191
36,48
39,955
39,808
43,888
43,456
44,746
44,724
45,591
46,471
47,726
49,349
50,191
51,230
51,301
52,657
53,606
54,259
55,581
56,901
57,173
58,605
58,214
63,667
64,506
65,688
67,471
69,993
70,719
71,451
71,786
73,90
74,181
74,215
75,97
76,885
77,580
78,643
80,530
81,382
84,934
84,285
86,173
86,947
88,985
91,221
91,568
92,68
94,940
95,959
95,738
96,746
101,354
103,657
104,746
104,724
106,937
107,93
108,30
108,541
109,112
110,475
111,100
111,789
113,249
114,786
115,703
117,110
117,761
119,514
121,158
122,684
123,783
126,262
128,198
129,230
130,245
131,12
132,881
133,675
133,40
136,146
137,982
138,961
138,689
139,579
141,592
142,693
144,279
145,101
149,434
152,512
152,703
154,726
155,203
158,72
159,12
159,118
160,820
160,614
162,933
163,918
164,996
164,287
166,677
166,519
167,621
168,430
168,653
172,42
175,262
175,398
176,13
178,517
181,68
181,822
184,726
184,937
185,6
185,346
186,462
187,447
188,260
189,92
189,438
190,3
190,360
194,451
194,786
195,935
196,29
197,680
199,450
200,639
200,93
201,398
202,382
204,639
207,437
208,179
210,118
211,647
216,192
217,540
217,245
219,843
219,505
221,6
224,26
225,46
225,416
226,791
226,752
228,248
231,45
231,699
233,659
234,369
235,556
235,358
237,100
237,789
239,249
239,896
240,684
241,888
241,456
242,997
243,370
243,783
247,489
249,752
250,124
254,110
255,901
255,253
259,959
260,955
261,380
262,922
266,888
267,469
267,583
268,36
269,349
270,3
272,639
273,830
274,517
274,322
275,48
276,818
276,36
278,404
280,693
282,726
284,713
286,506
290,92
291,656
292,80
292,838
293,633
294,372
294,19
295,729
297,580
298,989
299,296
300,514
300,380
302,324
304,430
306,822
308,393
309,621
312,579
313,458
314,664
314,886
316,901
317,416
318,795
318,657
319,703
321,967
322,677
323,93
325,232
325,458
326,789
327,955
328,622
330,110
332,514
333,469
333,583
334,783
335,642
336,858
340,153
341,220
341,566
343,100
347,487
348,922
350,782
351,881
351,24
353,880
355,101
356,389
357,259
359,914
361,450
363,141
363,455
365,395
368,383
368,172
369,3
370,475
371,89
372,996
374,53
376,753
377,165
378,519
379,945
379,296
381,158
385,514
386,820
386,614
387,383
388,794
388,15
390,626
391,937
393,73
393,862
396,959
396,738
397,896
399,981
400,191
400,830
403,277
403,537
404,882
405,730
410,232
410,458
411,639
415,688
417,786
418,639
418,93
419,147
420,934
421,322
423,835
424,719
424,938
428,221
431,12
431,118
433,646
433,826
434,279
437,982
437,506
444,594
444,373
445,504
446,271
446,914
450,993
450,656
452,686
453,629
454,631
457,345
459,92
460,791
461,978
463,556
463,358
464,583
465,100
467,288
467,99
468,783
470,591
471,886
472,447
473,401
473,626
474,935
476,110
476,761
477,349
478,53
480,782
480,62
481,581
481,776
483,580
483,532
484,181
485,591
487,451
487,786
488,745
492,403
493,402
494,434
494,89
495,942
498,80
500,382
501,746
502,813
503,113
503,885
504,3
504,360
505,594
505,373
507,35
507,688
511,294
516,934
517,92
517,438
518,580
519,179
519,33
520,643
521,945
521,296
522,979
523,24
524,993
524,656
525,221
526,947
528,62
529,68
531,436
532,229
532,629
533,993
534,307
538,113
538,885
542,33
544,471
544,289
545,423
547,45
549,993
550,113
553,89
555,684
557,378
557,403
558,901
559,147
559,951
560,738
561,183
562,30
563,880
563,240
564,438
565,659
565,192
566,972
567,734
571,796
571,54
572,881
576,101
577,230
577,301
578,308
579,437
579,486
581,942
582,646
582,826
584,45
584,699
585,482
586,267
588,668
588,997
589,601
596,491
597,583
598,258
599,753
599,621
603,15
604,471
604,289
605,34
605,177
607,517
608,369
609,173
610,713
611,709
613,449
613,785
616,996
617,61
617,279
618,36
620,730
623,215
624,93
625,546
628,9
630,451
630,786
631,552
631,773
632,384
633,517
633,322
634,147
635,934
635,285
636,580
636,532
637,305
638,289
641,30
641,541
644,12
644,118
645,813
646,147
647,153
648,241
649,29
650,92
651,993
651,656
652,999
653,738
658,556
659,664
661,218
664,75
664,98
665,538
665,328
666,451
666,786
668,29
668,685
669,509
671,368
672,198
672,972
673,789
674,474
675,110
675,761
676,802
678,281
679,370
679,783
681,91
682,100
683,101
685,125
686,21
690,370
690,349
692,818
694,961
694,689
696,404
696,187
697,581
698,647
700,781
700,643
701,357
701,148
702,517
